Subject ID;Video ID;Attention (Proprietary measure of mental focus);Mediation (Proprietary measure of calmness);Raw (Raw EEG signal);Delta (1-3 Hz of power spectrum);Theta (4-7 Hz of power spectrum);Alpha 1 (Lower 8-11 Hz of power spectrum);Alpha 2 (Higher 8-11 Hz of power spectrum);Beta 1 (Lower 12-29 Hz of power spectrum);Beta 2 (Higher 12-29 Hz of power spectrum);Gamma 1 (Lower 30-100 Hz of power spectrum);Gamma 2 (Higher 30-100 Hz of power spectrum); predefined label (whether the subject is expected to be confused);user-defined label (whether the subject is actually confused)
0.000000000000000000e+00;4,00E+18;7,50E+19;6,10E+19;-1,45E+20;9,95E+21;7,25E+21;1,63E+22;1,11E+22;8,55E+21;2,29E+22;8,19E+22;3,01E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,40E+19;6,30E+19;6,00E+18;1,99E+23;3,57E+22;1,74E+22;2,26E+22;1,37E+22;3,81E+22;1,69E+22;4,95E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;9,30E+19;6,60E+19;-1,10E+19;9,49E+21;1,03E+22;7,10E+21;9,51E+21;7,80E+21;6,88E+22;2,97E+22;1,03E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;9,70E+19;5,60E+19;5,00E+18;1,56E+22;4,02E+22;1,04E+22;3,53E+21;2,17E+22;7,58E+22;7,65E+22;1,06E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,40E+19;4,10E+19;8,00E+18;5,16E+23;4,75E+23;2,24E+22;5,08E+22;9,62E+21;1,99E+22;4,10E+22;2,42E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,60E+19;3,40E+19;5,00E+19;2,50E+24;1,82E+23;3,09E+22;2,60E+22;3,15E+22;5,28E+22;4,87E+22;2,13E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,40E+19;3,00E+19;1,62E+20;1,40E+23;1,54E+22;5,46E+21;3,53E+20;4,43E+21;1,14E+22;1,75E+22;2,93E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;3,80E+19;4,10E+19;7,00E+18;3,07E+23;2,80E+22;7,09E+21;6,68E+21;1,25E+22;7,23E+21;1,51E+22;3,64E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,70E+19;4,80E+19;3,40E+19;2,77E+22;1,20E+22;7,30E+21;1,20E+22;1,59E+22;4,59E+22;2,07E+22;9,39E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,40E+19;5,40E+19;5,70E+19;2,20E+23;1,45E+23;2,62E+22;5,44E+22;1,41E+22;3,44E+22;3,84E+22;1,32E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,40E+19;5,40E+19;-4,10E+19;4,65E+23;6,60E+22;1,09E+22;4,24E+21;1,02E+22;1,23E+22;1,91E+22;6,28E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;4,70E+19;6,00E+19;1,04E+20;6,21E+23;7,47E+22;3,23E+22;1,40E+22;5,59E+21;6,76E+21;6,65E+21;1,59E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;2,90E+19;5,30E+19;1,03E+20;1,10E+23;3,32E+22;2,87E+21;1,35E+21;1,14E+21;7,99E+21;3,63E+22;5,38E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;3,80E+19;4,80E+19;2,03E+20;3,47E+23;6,66E+22;2,37E+22;7,23E+21;1,16E+22;3,96E+22;3,95E+22;1,72E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,30E+19;5,60E+19;2,40E+19;2,08E+24;4,42E+22;5,12E+22;4,20E+22;2,28E+22;1,31E+23;2,81E+22;1,65E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,90E+19;5,00E+19;1,10E+19;1,06E+23;8,07E+22;2,67E+22;5,23E+21;2,60E+21;4,77E+22;5,58E+22;1,69E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,40E+19;5,70E+19;-2,97E+20;1,11E+23;1,33E+23;1,40E+22;4,04E+22;2,17E+22;5,86E+22;3,41E+22;2,77E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,60E+19;5,40E+19;4,20E+19;1,01E+24;4,83E+23;7,43E+22;3,51E+22;2,24E+22;3,14E+22;7,20E+22;6,32E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,40E+19;4,40E+19;1,90E+19;3,48E+23;3,69E+22;1,08E+22;2,61E+21;1,11E+22;4,39E+22;6,39E+22;1,31E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,10E+19;3,80E+19;3,80E+19;3,85E+22;2,77E+22;7,42E+21;4,07E+21;1,62E+22;3,87E+22;2,17E+22;8,40E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,40E+19;4,10E+19;7,00E+18;1,72E+22;3,75E+22;8,40E+21;1,91E+22;1,52E+22;3,00E+22;6,17E+22;6,14E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,00E+19;4,30E+19;5,50E+19;3,46E+23;1,97E+23;2,61E+22;3,47E+22;1,41E+22;3,11E+22;3,95E+22;1,44E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;5,40E+19;5,70E+19;-1,64E+20;2,95E+23;1,38E+23;5,74E+22;7,95E+22;2,95E+22;2,86E+22;3,37E+22;2,96E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;3,80E+19;6,70E+19;-1,80E+19;5,06E+23;2,20E+23;3,82E+22;7,39E+22;1,98E+22;4,41E+22;6,76E+22;4,92E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;3,80E+19;6,40E+19;1,20E+20;1,75E+23;2,60E+22;8,73E+21;2,27E+21;1,80E+21;2,15E+22;2,06E+22;4,67E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;4,30E+19;8,10E+19;9,20E+19;2,96E+23;1,13E+22;2,46E+22;2,30E+22;5,12E+21;1,34E+22;1,85E+22;5,38E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;4,70E+19;6,60E+19;1,19E+20;2,51E+24;1,18E+23;7,05E+21;3,33E+22;1,62E+22;3,47E+22;4,32E+22;1,55E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;4,80E+19;6,60E+19;1,70E+19;7,39E+23;4,06E+22;1,11E+22;8,27E+21;1,14E+22;3,59E+22;6,94E+22;1,67E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,10E+19;5,00E+19;1,00E+18;1,03E+23;1,37E+22;4,34E+21;1,56E+22;2,44E+22;5,02E+22;3,46E+22;1,28E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,00E+19;4,70E+19;2,40E+19;1,95E+23;3,84E+22;5,91E+21;2,04E+21;2,72E+21;1,03E+22;1,52E+22;9,60E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,60E+19;3,50E+19;7,50E+19;3,10E+23;1,45E+23;1,04E+21;1,29E+22;3,16E+22;2,13E+22;5,83E+22;1,02E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,10E+19;3,40E+19;1,02E+20;2,33E+23;1,04E+23;1,85E+22;1,07E+22;1,19E+22;4,33E+22;4,58E+22;1,16E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,60E+19;2,40E+19;7,30E+19;8,48E+21;9,37E+21;2,64E+21;5,57E+21;2,89E+22;4,90E+22;1,08E+23;2,17E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;6,60E+19;3,80E+19;-2,50E+19;5,87E+22;1,77E+22;1,34E+22;5,74E+21;6,11E+21;8,66E+21;1,01E+22;5,61E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;7,40E+19;4,30E+19;8,90E+19;4,33E+23;2,95E+22;3,11E+21;2,31E+21;3,99E+21;1,03E+22;1,04E+22;5,67E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;4,00E+18;8,10E+19;4,40E+19;1,21E+20;1,17E+22;2,01E+22;1,07E+22;9,04E+21;2,91E+22;3,61E+22;3,13E+22;1,72E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;5,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;9,00E+19;2,81E+23;9,08E+22;1,31E+22;3,51E+22;1,27E+22;1,31E+22;1,66E+22;8,32E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,08E+20;6,10E+23;2,44E+23;4,28E+22;6,44E+22;2,82E+22;3,06E+22;3,38E+22;2,79E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,80E+19;4,30E+19;2,00E+20;1,53E+23;8,21E+22;5,75E+21;2,96E+22;1,21E+22;6,29E+21;1,55E+22;1,13E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,40E+19;5,00E+19;6,60E+19;6,48E+23;1,33E+24;2,68E+23;3,97E+23;1,27E+23;1,02E+23;2,39E+23;8,17E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,40E+19;2,30E+19;-1,68E+20;1,17E+24;1,24E+24;1,20E+23;2,32E+23;2,32E+23;9,75E+22;2,50E+23;1,16E+23;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,80E+19;4,30E+19;2,03E+20;9,68E+23;2,37E+22;1,75E+22;1,27E+22;5,82E+21;1,97E+22;8,01E+21;8,11E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;3,80E+19;1,34E+20;7,68E+23;3,26E+23;5,48E+22;6,53E+22;4,48E+22;9,34E+22;4,65E+22;6,10E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,70E+19;1,10E+19;-9,00E+19;6,05E+23;4,38E+23;2,90E+22;4,06E+22;3,33E+22;3,45E+22;5,33E+22;3,69E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;8,40E+19;5,00E+19;1,20E+19;3,80E+23;7,27E+22;2,50E+22;2,43E+22;1,40E+22;1,83E+22;1,35E+22;1,31E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,30E+19;4,40E+19;-1,78E+20;7,50E+23;5,42E+23;1,53E+23;1,28E+23;2,95E+22;7,81E+22;6,77E+22;5,82E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,30E+19;8,30E+19;-1,57E+20;9,23E+23;4,24E+23;8,50E+23;6,87E+22;1,48E+23;1,51E+23;1,43E+23;1,38E+23;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,70E+19;1,00E+20;1,06E+20;3,06E+24;6,56E+23;7,48E+23;1,47E+23;1,69E+23;6,59E+22;1,63E+23;8,49E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,40E+19;8,80E+19;9,60E+19;1,11E+24;8,15E+22;5,80E+21;1,35E+22;6,25E+21;6,91E+21;1,20E+22;6,78E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,30E+19;8,10E+19;-8,50E+19;1,28E+24;2,00E+23;8,06E+22;1,16E+23;5,47E+22;6,18E+22;3,84E+22;3,03E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,80E+19;4,40E+19;-4,20E+19;8,99E+23;2,91E+23;2,61E+22;4,51E+22;3,96E+22;3,13E+22;1,97E+22;2,49E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,30E+19;1,10E+19;1,60E+20;5,71E+23;6,02E+23;1,47E+22;9,27E+22;1,57E+22;4,54E+22;3,06E+22;1,81E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,40E+19;1,00E+19;-2,10E+19;8,91E+23;4,17E+23;7,36E+22;2,31E+22;1,37E+22;4,10E+22;7,06E+22;1,98E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,50E+19;1,30E+19;1,13E+20;2,55E+24;6,27E+23;3,22E+23;3,87E+23;1,13E+23;1,17E+23;3,40E+23;5,64E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,60E+19;1,70E+19;1,72E+20;1,62E+24;9,38E+23;1,93E+23;7,93E+22;6,10E+22;6,47E+22;1,06E+23;5,52E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,10E+19;1,40E+19;-1,25E+20;5,61E+23;2,69E+23;3,55E+22;1,05E+21;2,40E+22;1,58E+22;2,35E+22;1,58E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,00E+19;1,40E+19;-9,40E+19;5,63E+22;4,31E+22;1,26E+21;8,78E+21;5,27E+21;6,33E+21;1,59E+22;9,37E+20;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,00E+19;4,00E+18;1,13E+20;3,49E+23;1,84E+22;4,51E+21;5,81E+21;4,39E+21;4,13E+21;7,11E+21;2,86E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,40E+19;4,00E+18;8,10E+19;4,82E+23;3,03E+22;1,90E+21;5,76E+21;9,15E+20;4,61E+21;1,17E+22;2,19E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;2,30E+19;1,09E+20;1,39E+24;1,91E+23;5,64E+22;2,13E+22;8,05E+21;2,41E+22;5,05E+22;1,14E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,00E+19;1,70E+19;1,77E+20;1,63E+23;3,96E+23;3,75E+22;1,79E+22;1,68E+22;2,84E+22;3,07E+22;5,13E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,00E+19;1,10E+19;-2,40E+19;5,07E+23;3,88E+23;3,70E+22;8,00E+22;2,28E+22;2,71E+22;9,20E+22;3,53E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,90E+19;1,60E+19;-3,30E+19;6,99E+23;3,28E+23;7,29E+22;4,50E+22;3,61E+22;4,78E+22;7,72E+22;2,78E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,40E+19;4,00E+18;-4,10E+19;5,81E+23;4,23E+23;3,46E+22;6,61E+22;5,99E+22;5,29E+22;7,60E+22;4,62E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,00E+19;1,70E+19;7,50E+19;8,47E+23;9,96E+22;5,87E+21;2,71E+22;4,49E+21;2,51E+22;1,24E+22;8,98E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;1,40E+19;7,00E+18;1,89E+24;5,99E+23;1,22E+23;4,24E+22;5,85E+22;8,01E+22;5,54E+22;3,61E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,50E+19;1,10E+19;-2,60E+19;1,52E+24;2,71E+23;5,29E+22;4,48E+22;6,33E+22;7,58E+22;1,50E+23;3,03E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,60E+19;1,40E+19;-2,80E+19;6,03E+23;2,04E+23;3,10E+22;1,85E+22;1,50E+22;1,60E+22;2,62E+22;1,25E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;7,00E+18;-5,00E+18;1,37E+24;1,80E+23;1,31E+22;3,07E+22;2,11E+22;3,05E+22;8,91E+21;4,86E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,90E+19;1,00E+18;-1,10E+19;4,85E+23;9,54E+22;1,44E+22;6,55E+21;1,37E+22;2,01E+22;1,80E+22;7,50E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,40E+19;1,00E+19;-1,10E+19;7,08E+23;4,50E+22;1,76E+22;1,26E+22;1,08E+22;2,15E+22;2,93E+22;6,13E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;9,30E+19;1,30E+19;-1,00E+19;1,90E+24;1,90E+23;1,75E+22;4,89E+22;2,70E+22;4,94E+22;7,69E+22;3,67E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;9,30E+19;2,00E+19;2,14E+20;1,05E+24;1,18E+23;1,59E+21;3,16E+22;4,89E+21;2,06E+22;2,38E+22;7,34E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,00E+20;2,00E+19;-3,50E+19;3,34E+23;7,18E+22;6,39E+21;9,19E+21;6,09E+21;2,51E+22;1,31E+22;6,26E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,00E+20;1,30E+19;6,90E+19;2,75E+23;2,76E+22;3,80E+21;7,22E+21;3,28E+21;8,21E+21;3,65E+21;1,16E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;8,80E+19;1,00E+18;2,50E+19;2,77E+23;1,73E+23;1,42E+22;6,07E+21;4,74E+21;1,67E+22;1,50E+22;6,34E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;8,00E+19;1,00E+18;7,20E+19;1,67E+24;6,05E+23;5,34E+22;2,17E+22;4,32E+22;5,33E+22;7,31E+22;2,42E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,30E+19;1,00E+18;9,70E+19;5,59E+23;1,26E+23;1,14E+22;1,39E+22;1,90E+22;9,56E+21;3,72E+22;1,30E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,40E+19;1,00E+18;-2,70E+19;1,77E+24;1,20E+23;6,48E+22;8,43E+21;1,78E+22;7,82E+21;2,64E+22;7,80E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,70E+19;1,40E+19;-4,30E+19;1,08E+24;6,21E+23;1,70E+23;3,85E+22;1,03E+23;9,59E+22;8,42E+22;2,80E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,10E+19;2,00E+19;-1,80E+19;9,20E+23;1,27E+23;2,04E+22;7,28E+21;1,32E+22;5,09E+22;3,24E+22;3,66E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,30E+19;3,50E+19;1,90E+19;1,50E+23;1,37E+23;5,63E+22;3,59E+21;9,41E+21;7,61E+21;1,62E+22;1,07E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,30E+19;5,00E+19;4,50E+19;8,65E+23;3,16E+22;2,79E+22;3,27E+22;1,81E+21;1,34E+22;3,69E+22;8,07E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,60E+19;4,00E+19;7,70E+19;1,41E+24;1,66E+23;1,64E+22;9,76E+21;1,05E+22;1,43E+22;1,44E+22;1,56E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,10E+19;4,30E+19;-1,51E+20;2,08E+23;1,03E+23;1,12E+22;1,19E+22;8,97E+21;1,77E+22;3,50E+22;7,97E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;4,30E+19;1,37E+20;6,15E+23;2,60E+22;1,10E+22;1,81E+21;8,12E+20;4,98E+21;3,10E+21;1,23E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,50E+19;1,60E+19;-1,51E+20;1,19E+24;4,23E+22;1,96E+22;2,79E+21;8,18E+21;2,93E+22;2,57E+22;3,68E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,50E+19;3,40E+19;7,10E+19;1,47E+24;6,74E+23;2,53E+23;1,30E+22;4,17E+22;7,92E+22;1,26E+23;1,75E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,40E+19;3,80E+19;1,44E+20;2,15E+24;4,24E+23;9,55E+22;2,43E+22;4,48E+22;5,03E+22;3,83E+22;1,75E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,00E+19;1,60E+19;2,60E+20;1,31E+23;1,71E+23;1,60E+21;1,53E+22;6,41E+21;1,08E+22;3,07E+22;1,23E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,70E+19;1,40E+19;-2,50E+19;8,76E+23;1,75E+23;1,41E+22;4,53E+22;3,57E+22;2,50E+22;2,92E+22;6,62E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,10E+19;1,00E+18;1,47E+20;2,37E+24;8,52E+23;6,25E+22;6,56E+21;3,97E+22;5,09E+22;2,97E+22;3,41E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,70E+19;7,00E+18;9,00E+18;7,15E+23;5,09E+22;2,33E+22;1,05E+22;1,59E+22;2,13E+22;1,70E+22;2,68E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,00E+19;4,80E+19;4,40E+19;1,47E+24;3,56E+22;5,23E+22;5,30E+21;3,25E+21;1,25E+22;1,91E+22;5,17E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,30E+19;5,00E+19;1,44E+20;1,50E+24;1,98E+23;3,47E+22;2,59E+22;1,95E+22;3,38E+22;1,14E+22;1,16E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;8,00E+19;5,70E+19;-5,80E+19;3,94E+23;2,27E+23;1,59E+22;2,73E+22;2,70E+22;8,54E+22;3,48E+22;2,82E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,00E+19;6,90E+19;6,90E+19;2,44E+24;2,26E+23;1,66E+23;1,45E+23;2,30E+22;7,38E+22;5,37E+22;1,95E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,40E+19;5,10E+19;2,00E+19;3,63E+23;2,93E+23;3,55E+22;1,16E+23;7,69E+22;6,62E+22;6,85E+22;2,45E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,40E+19;6,60E+19;-9,40E+19;5,94E+23;7,95E+22;5,79E+22;5,15E+21;9,57E+21;1,92E+22;1,24E+22;8,15E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,10E+19;8,40E+19;8,20E+19;6,82E+23;5,74E+22;2,37E+22;6,29E+21;7,62E+21;5,88E+21;3,18E+22;1,30E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,10E+19;5,30E+19;-3,40E+19;1,96E+24;5,54E+23;6,80E+22;2,10E+22;3,59E+22;8,38E+22;2,16E+23;3,71E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,40E+19;6,30E+19;1,47E+20;1,17E+24;8,35E+22;9,03E+22;1,59E+22;6,49E+21;7,12E+22;9,38E+22;2,30E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,40E+19;5,70E+19;-1,00E+19;1,05E+24;2,29E+23;7,55E+22;4,12E+22;3,35E+22;2,61E+22;9,01E+22;4,59E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;7,40E+19;5,30E+19;2,89E+20;1,47E+24;3,75E+22;1,42E+22;6,12E+21;1,12E+22;1,34E+22;1,54E+22;1,03E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,30E+19;5,60E+19;-1,70E+19;1,92E+23;7,74E+22;1,04E+22;3,51E+21;3,43E+21;3,26E+21;6,97E+21;1,57E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,70E+19;6,60E+19;8,90E+19;2,04E+24;1,54E+23;2,15E+23;2,84E+22;1,65E+22;3,02E+22;4,91E+22;4,81E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,00E+19;6,90E+19;2,30E+19;6,01E+23;1,27E+23;6,06E+22;2,16E+22;1,13E+22;1,92E+22;1,64E+22;5,80E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,60E+19;6,70E+19;1,63E+20;2,51E+23;4,91E+22;9,38E+21;7,63E+21;3,41E+21;1,18E+22;1,46E+22;2,57E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,50E+19;7,50E+19;6,40E+19;1,19E+24;2,19E+23;4,84E+22;1,06E+22;5,17E+21;1,75E+22;2,81E+22;7,77E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,10E+19;5,70E+19;1,20E+19;1,19E+23;3,80E+23;1,15E+23;8,78E+22;4,44E+22;6,26E+22;7,10E+22;4,48E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,40E+19;4,80E+19;1,03E+20;1,23E+24;4,94E+23;1,40E+23;1,75E+22;3,28E+22;1,81E+22;1,87E+23;5,21E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,30E+19;5,00E+19;-1,00E+18;7,58E+23;4,43E+23;1,21E+23;3,22E+22;1,93E+22;5,07E+22;1,43E+23;1,55E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,00E+18;3,00E+19;7,40E+19;6,40E+23;9,79E+23;5,31E+22;3,38E+22;4,76E+22;3,26E+22;4,39E+22;9,61E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;1,60E+19;4,10E+19;2,02E+20;1,30E+24;6,41E+22;4,09E+22;5,68E+22;8,98E+21;4,83E+22;1,29E+23;3,08E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;2,70E+19;3,00E+19;-1,40E+19;1,48E+24;1,14E+24;1,23E+23;8,62E+22;1,78E+23;8,42E+22;9,35E+22;1,50E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;3,70E+19;3,70E+19;6,00E+19;3,23E+23;1,30E+23;3,49E+22;3,85E+22;1,84E+22;2,99E+22;2,73E+22;9,25E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,30E+19;4,40E+19;-3,60E+19;2,36E+24;9,57E+23;1,26E+23;2,35E+22;3,58E+22;1,93E+23;7,14E+22;5,96E+22;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;4,30E+19;4,80E+19;1,86E+20;2,31E+23;1,27E+23;1,30E+23;3,70E+22;2,13E+22;2,40E+22;4,67E+22;6,92E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;6,10E+19;6,90E+19;1,87E+20;1,20E+24;3,76E+22;2,38E+22;9,34E+21;7,30E+21;1,44E+22;3,65E+22;6,53E+21;1,00E+18;1,00E+18
0.000000000000000000e+00;5,00E+18;5,10E+19;7,80E+19;5,80E+19;1,59E+24;3,35E+23;2,32E+23;7,39E+22;2,20E+22;4,85E+22;2,75E+22;4,50E+22;1,00E+18;1,00E+18
